iso3c,year,y_res,gain_t,gain_lag1,gain_lag2
MYS,2014,0.23837421391078673,55.8264351706202,54.581781661357,53.4818534394662
NAM,2014,-0.8442098707304178,43.4358053545337,42.9010492710423,42.8351966304812
NGA,2014,-1.1722245872665091,33.5597648145925,44.4317506646512,44.3464653123276
NLD,2014,-0.8989284831346246,69.1299228417831,68.3196633633377,68.1601118332124
NOR,2014,-0.015426384083542454,78.3151199668366,77.6411469704572,76.4976500053383
NZL,2014,0.2763527335801632,75.5682161327705,74.9971926392299,74.8234783637268
PAK,2014,1.393468739363536,37.2068866316225,45.545924444276,44.901657683168
PER,2014,-0.07796813124884094,46.1235104513151,46.1839854283188,45.9604532269754
PHL,2014,0.6295914717739618,41.7977558477506,41.4070490034735,40.4228942760114
POL,2014,-0.777607256877486,61.4496756492142,59.9624788761112,58.9991984944566
PRT,2014,-1.965991187624669,61.4386159352963,60.2428043562749,59.7633102914454
QAT,2014,-0.2814729111711737,56.6070821382598,56.7207629968733,55.8525060503259
ROU,2014,-1.0218551844939743,50.2685797036492,49.1811422738864,48.5082848300107
RUS,2014,1.446767317168848,55.5110404444077,61.3380216671254,60.9500856932995
SGP,2014,0.061751123685761466,71.1009943156154,70.0350347418633,69.3634894014146
SVK,2014,-1.120246687595494,54.8254686876397,54.2350703021709,53.898715499535
SVN,2014,-1.9310346419800228,64.4553340250998,63.9217048358574,64.1505859143831
SWE,2014,-0.51238933915459,72.6996520360616,72.6293111499406,72.7761556285392
THA,2014,-0.675007670935567,48.8468858592606,48.5046527573735,47.9571374894321
TUR,2014,1.285008915023881,52.5684280390908,52.4057267496786,51.9348312713256
UGA,2014,-1.4918433148764851,32.5101709876193,31.9854538648142,32.2575886696314
VNM,2014,-1.2955025082766074,43.6922622067801,42.8675985969061,42.1402447115063
ZAF,2014,0.28752392921885317,46.7313418491964,46.034586494168,45.2921524321444
ZMB,2014,1.4032396971957208,39.8427893454073,39.0554467278667,38.8793229210586
ARG,2015,-1.814045094717561,44.8996914763672,45.0769981298042,45.5120610080099
ARM,2015,4.328217255108459,53.0710071724417,52.8751543790892,51.7067198309547
AUS,2015,-0.3564881949379386,69.3935869718605,69.3498753499113,69.2487818133458
AUT,2015,-0.43214500400190814,69.7262562761327,69.4587848810567,69.1420909725543
BEL,2015,-0.43101099260923226,63.5995328972293,63.7000838790869,63.0380666492764
BGD,2015,-0.41630984484680145,34.187289758364,33.484142934222,44.5462997450783
BGR,2015,0.08664496848769021,53.0446328936703,53.077255007044,52.4488771844555
BRA,2015,1.7023322494798645,46.7319494014161,46.815137006648,51.838477704925
BWA,2015,1.1845846543417071,48.1136790005316,48.0499560322177,47.1123253194728
CAN,2015,-0.47598008201975106,69.9100549138531,70.156111859112,69.9347988967918
CHE,2015,-0.15006550522572493,72.9708817024125,73.0579006486609,72.6898406488804
CHN,2015,-0.3514470786911008,51.7581124519274,50.9221017460255,58.1600672887841
CIV,2015,-0.7080425690648551,37.9821590248294,34.8210081861511,33.6906784872339
COL,2015,-0.21317588794962816,46.2698653125443,46.1173977692486,45.167633555522
CYP,2015,-0.931256413951564,57.2944573528662,57.4581779152689,57.3027074947098
CZE,2015,-0.31516607897649407,62.7255525651544,62.5223762099836,61.3226548711927
DEU,2015,-0.025345541094742075,70.9283912335115,71.3657868515424,70.6268199144864
DNK,2015,-0.009768607297272469,73.7737551011574,73.8856930180811,74.1245083441789
EGY,2015,-0.6262703383031489,44.4139174213926,44.496447560045,44.1337805861058
ESP,2015,-0.3449468031261676,60.6048143928052,60.5731276335644,60.8850204845965
FIN,2015,-0.22736452591856082,75.1212060301418,75.4842312934337,75.2760567927729
FRA,2015,-0.3807261331000451,67.9069582400311,67.902035082945,67.282023522172
GBR,2015,-0.15690572694585728,72.3103958283085,71.6382779157715,70.3595684845916
GRC,2015,2.844488716813303,56.2368529033018,55.9987128588369,55.243796614294
HRV,2015,0.06683307107086556,53.8530412171932,53.5314701003745,52.8600752624064
HUN,2015,0.10517273074111788,55.6298721525074,55.8241120884238,56.1590081670783
IDN,2015,0.7496133354290571,41.9967579857078,41.4263723572565,48.6220239471262
IND,2015,-0.20788761948963952,37.2410440075655,37.1736303015719,47.0828170129258
IRL,2015,-0.5458092546457529,65.7288049781172,65.2585133899059,64.1086741610711
ISL,2015,0.6190140439385576,70.9766056082204,71.9485773008219,70.2438263244028
ISR,2015,-0.08388350544976333,61.8482262458914,61.5024932879861,61.1096666597581
