date,yield,iso3
2007-09-01,4.2345,DEU
2007-10-01,4.296086956521739,DEU
2007-11-01,4.111818181818181,DEU
2007-12-01,4.239055555555556,DEU
2008-01-01,4.046363636363636,DEU
2008-02-01,3.9690476190476187,DEU
2008-03-01,3.804761904761905,DEU
2008-04-01,4.044090909090909,DEU
2008-05-01,4.198636363636364,DEU
2008-06-01,4.53952380952381,DEU
2008-07-01,4.505217391304348,DEU
2008-08-01,4.2161904761904765,DEU
2008-09-01,4.11,DEU
2008-10-01,3.9008695652173913,DEU
2008-11-01,3.585,DEU
2008-12-01,3.0705263157894738,DEU
2009-01-01,3.0942857142857143,DEU
2009-02-01,3.163,DEU
2009-03-01,3.0654545454545454,DEU
2009-04-01,3.1670000000000003,DEU
2009-05-01,3.4325,DEU
2009-06-01,3.5513636363636363,DEU
2009-07-01,3.3734782608695655,DEU
2009-08-01,3.334285714285714,DEU
2009-09-01,3.294545454545455,DEU
2009-10-01,3.2363636363636363,DEU
2009-11-01,3.2785714285714285,DEU
2009-12-01,3.213,DEU
2010-01-01,3.2935000000000003,DEU
2010-02-01,3.1955,DEU
2010-03-01,3.1260869565217395,DEU
2010-04-01,3.0974999999999997,DEU
2010-05-01,2.8133333333333335,DEU
2010-06-01,2.627272727272727,DEU
2010-07-01,2.645909090909091,DEU
2010-08-01,2.3868181818181817,DEU
2010-09-01,2.3249999999999997,DEU
2010-10-01,2.367142857142857,DEU
2010-11-01,2.550909090909091,DEU
2010-12-01,2.949047619047619,DEU
2011-01-01,3.0423809523809524,DEU
2011-02-01,3.2205,DEU
2011-03-01,3.239130434782609,DEU
2011-04-01,3.3721052631578945,DEU
2011-05-01,3.1240909090909095,DEU
2011-06-01,2.972727272727273,DEU
2011-07-01,2.7942857142857145,DEU
2011-08-01,2.272608695652174,DEU
2011-09-01,1.87,DEU
2011-10-01,2.041904761904762,DEU
2011-11-01,1.9372727272727273,DEU
2011-12-01,2.0233333333333334,DEU
2012-01-01,1.8709090909090909,DEU
2012-02-01,1.9004761904761902,DEU
